Case_ID,Year,Province,Amount_Lost_IDR,Defendants,Verdict
1,2006,,,,Not Guilty
2,2019,Sumatra,1112057931.0,2.0,Ongoing
3,2014,Kalimantan,9420433921.0,9.0,Ongoing
4,2010,Sulawesi,5697988826.0,1.0,Not Guilty
5,2007,East Java,2405513000.0,7.0,Guilty
6,2020,Sumatra,0.0,0.0,Ongoing
7,2006,Central Java,9142617647.0,8.0,Ongoing
8,2018,Sumatra,5512915986.0,4.0,Guilty
9,2022,Sumatra,4375113734.0,7.0,Guilty
10,2010,Sumatra,6152427304.0,5.0,Not Guilty
11,2010,,99925474670.0,,Not Guilty
12,2023,Sulawesi,3388900181.0,9.0,Not Guilty
13,2020,Kalimantan,8364580739.0,9.0,Guilty
14,2003,Jakarta,9305520895.0,9.0,Ongoing
15,2007,Kalimantan,3312352331.0,6.0,Ongoing
16,2023,Central Java,0.0,0.0,Not Guilty
17,2002,Central Java,6329951669.0,5.0,Guilty
18,2021,Kalimantan,249766485.0,9.0,Ongoing
19,2020,Sulawesi,4616777399.0,8.0,Not Guilty
20,2001,Bali,8548622157.0,7.0,Ongoing
21,2023,,,,Ongoing
22,2011,Sulawesi,1648602123.0,6.0,Guilty
23,2005,Kalimantan,8872796764.0,5.0,Guilty
24,2001,Sumatra,5892980142.0,4.0,Ongoing
25,2020,West Java,9675451402.0,3.0,Not Guilty
26,2000,East Java,0.0,0.0,Guilty
27,2011,East Java,4978602017.0,6.0,Ongoing
28,2021,Central Java,6308328737.0,4.0,Guilty
29,2011,East Java,4056753219.0,6.0,Guilty
30,2024,Kalimantan,439918242.0,3.0,Guilty
31,2016,,99925474670.0,,Ongoing
32,2009,Sumatra,1282508426.0,9.0,Not Guilty
33,2015,Jakarta,7615215854.0,5.0,Not Guilty
34,2014,Sumatra,5284040339.0,7.0,Not Guilty
35,2014,Sulawesi,4860047370.0,2.0,Guilty
36,2018,Sumatra,0.0,0.0,Ongoing
37,2011,Central Java,3907378030.0,9.0,Guilty
38,2022,Sumatra,7560546514.0,3.0,Not Guilty
39,2019,Jakarta,1900658692.0,9.0,Not Guilty
40,2024,Wst Java,9930758202.0,6.0,Ongoing
41,2002,,,,Guilty
42,2004,Central Java,861535970.0,7.0,Not Guilty
43,2018,Sulawesi,3071575383.0,8.0,Ongoing
44,2006,West Java,5170857496.0,6.0,Guilty
45,2020,Central Java,392548508.0,5.0,Guilty
46,2008,Bali,0.0,0.0,Not Guilty
47,2006,East Java,6573822065.0,5.0,Not Guilty
48,2017,Bali,3917305943.0,8.0,Guilty
49,2003,Sumatra,9387474387.0,1.0,Guilty
50,2024,West Java,6280660046.0,7.0,Not Guilty
51,2013,,99925474670.0,,Guilty
52,2017,East Java,6865763334.0,9.0,Not Guilty
53,2008,Central Java,2609361341.0,1.0,Guilty
54,2020,East Java,5264654831.0,6.0,Not Guilty
55,2001,Jakarta,691740155.0,9.0,Ongoing
56,2019,East Java,0.0,0.0,Not Guilty
57,2014,Jakarta,2536164289.0,4.0,Not Guilty
58,2006,East Java,643443984.0,4.0,Ongoing
59,2011,Kalimantan,7218506269.0,9.0,Guilty
60,2007,Jkarta,8482271278.0,5.0,Ongoing
61,2014,,,,Not Guilty
62,2002,Sumatra,4092594747.0,6.0,Guilty
63,2013,Sulawesi,8195018728.0,1.0,Ongoing
64,2016,Sumatra,7513592050.0,1.0,Guilty
